Description,Count,GeneRatio,BgRatio,p.adjust,ENTREZIDs,SYMBOLs,ENSEMBLIDs,category
GO_CELLULAR_AMINO_ACID_METABOLIC_PROCESS,16,16/560,285/16881,0.23173686247681816,236539/50934/27053/70789/11565/18126/19172/11911/14583/246221/19177/19170/76187/102436/69719/18263,Phgdh/Slc7a8/Asns/Kynu/Adssl1/Nos2/Psmb4/Atf4/Gfpt1/Mpst/Psmb7/Psmb1/Adhfe1/Lars2/Cad/Odc1,ENSMUSG00000053398/ENSMUSG00000022180/ENSMUSG00000029752/ENSMUSG00000026866/ENSMUSG00000011148/ENSMUSG00000020826/ENSMUSG00000005779/ENSMUSG00000042406/ENSMUSG00000029992/ENSMUSG00000071711/ENSMUSG00000026750/ENSMUSG00000014769/ENSMUSG00000025911/ENSMUSG00000035202/ENSMUSG00000013629/ENSMUSG00000011179,C5
GO_ATPASE_ACTIVITY,22,22/560,429/16881,0.2362865698865307,232975/15925/16570/11303/54219/77579/17913/19364/11305/50770/56455/27403/21871/17886/320632/15519/17250/217207/17909/241633/228033/16561,Atp1a3/Ide/Kif3c/Abca1/Cd320/Myh10/Myo1c/Rad51d/Abca2/Atp11a/Dynll1/Abca7/Atp6v0a2/Myh9/Snrnp200/Hsp90aa1/Abcc1/Dhx8/Myo10/Atp8b4/Atp5g3/Kif1b,ENSMUSG00000040907/ENSMUSG00000056999/ENSMUSG00000020668/ENSMUSG00000015243/ENSMUSG00000002308/ENSMUSG00000020900/ENSMUSG00000017774/ENSMUSG00000018841/ENSMUSG00000026944/ENSMUSG00000031441/ENSMUSG00000009013/ENSMUSG00000035722/ENSMUSG00000038023/ENSMUSG00000022443/ENSMUSG00000003660/ENSMUSG00000021270/ENSMUSG00000023088/ENSMUSG00000034931/ENSMUSG00000022272/ENSMUSG00000060131/ENSMUSG00000018770/ENSMUSG00000063077,C5
GO_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION,11,11/560,173/16881,0.23782803274692116,18733/11501/12481/15001/100041146/17387/105855/74748/229473/16168/16190,Pirb/Adam8/Cd2/H2-Oa/Gm15448/Mmp14/Nckap1l/Slamf8/Tmem131l/Il15/Il4ra,ENSMUSG00000058818/ENSMUSG00000025473/ENSMUSG00000027863/ENSMUSG00000024334/ENSMUSG00000074419/ENSMUSG00000000957/ENSMUSG00000022488/ENSMUSG00000053318/ENSMUSG00000033767/ENSMUSG00000031712/ENSMUSG00000030748,C5
GO_ARTERY_DEVELOPMENT,7,7/560,90/16881,0.2398645204960108,18186/77579/11816/77044/15531/67784/16449,Nrp1/Myh10/Apoe/Arid2/Ndst1/Plxnd1/Jag1,ENSMUSG00000025810/ENSMUSG00000020900/ENSMUSG00000002985/ENSMUSG00000033237/ENSMUSG00000054008/ENSMUSG00000030123/ENSMUSG00000027276,C5
GO_AMMONIUM_TRANSPORT,8,8/560,110/16881,0.23999442970306162,100038909/18733/229521/15567/100041146/30805/100434/18726,Gm14548/Pirb/Syt11/Slc6a4/Gm15448/Slc22a4/Slc44a1/Lilra6,ENSMUSG00000074417/ENSMUSG00000058818/ENSMUSG00000068923/ENSMUSG00000020838/ENSMUSG00000074419/ENSMUSG00000020334/ENSMUSG00000028412/ENSMUSG00000030427,C5
GO_BONE_MATURATION,3,3/560,21/16881,0.24059853623150995,20354/16000/105722,Sema4d/Igf1/Ano6,ENSMUSG00000021451/ENSMUSG00000020053/ENSMUSG00000064210,C5
GO_IMMUNOGLOBULIN_BINDING,3,3/560,21/16881,0.24059853623150995,100038909/18726/246256,Gm14548/Lilra6/Fcgr4,ENSMUSG00000074417/ENSMUSG00000030427/ENSMUSG00000059089,C5
GO_INFLAMMATORY_CELL_APOPTOTIC_PROCESS,3,3/560,21/16881,0.24059853623150995,12774/80885/13039,Ccr5/Hcar2/Ctsl,ENSMUSG00000079227/ENSMUSG00000045502/ENSMUSG00000021477,C5
GO_REGULATION_OF_METALLOPEPTIDASE_ACTIVITY,3,3/560,21/16881,0.24059853623150995,53614/20848/17196,Reck/Stat3/Mbp,ENSMUSG00000028476/ENSMUSG00000004040/ENSMUSG00000041607,C5
GO_REGULATION_OF_MYOBLAST_FUSION,3,3/560,21/16881,0.24059853623150995,23886/16190/12334,Gdf15/Il4ra/Capn2,ENSMUSG00000038508/ENSMUSG00000030748/ENSMUSG00000026509,C5
GO_RESPONSE_TO_LEPTIN,3,3/560,21/16881,0.24059853623150995,16847/98496/20848,Lepr/Pid1/Stat3,ENSMUSG00000057722/ENSMUSG00000045658/ENSMUSG00000004040,C5
GO_THREONINE_TYPE_PEPTIDASE_ACTIVITY,3,3/560,21/16881,0.24059853623150995,19172/19177/19170,Psmb4/Psmb7/Psmb1,ENSMUSG00000005779/ENSMUSG00000026750/ENSMUSG00000014769,C5
GO_MONONUCLEAR_CELL_DIFFERENTIATION,4,4/560,36/16881,0.24059853623150995,12978/238377/17748/17886,Csf1r/Gpr68/Mt1/Myh9,ENSMUSG00000024621/ENSMUSG00000047415/ENSMUSG00000031765/ENSMUSG00000022443,C5
GO_NEGATIVE_REGULATION_OF_ORGANELLE_ASSEMBLY,4,4/560,36/16881,0.24059853623150995,17152/237782/68953/213027,Mak/Smcr8/Chmp2a/Evi5l,ENSMUSG00000021363/ENSMUSG00000049323/ENSMUSG00000033916/ENSMUSG00000011832,C5
GO_ACETYLGLUCOSAMINYLTRANSFERASE_ACTIVITY,5,5/560,53/16881,0.24059853623150995,227327/217119/54616/217664/15531,B3gnt7/Xylt2/Extl3/Mgat2/Ndst1,ENSMUSG00000079445/ENSMUSG00000020868/ENSMUSG00000021978/ENSMUSG00000043998/ENSMUSG00000054008,C5
GO_ACTIN_FILAMENT_DEPOLYMERIZATION,5,5/560,53/16881,0.24059853623150995,68732/110253/20947/28006/20740,Carmil1/Triobp/Swap70/Washc2/Sptan1,ENSMUSG00000021338/ENSMUSG00000033088/ENSMUSG00000031015/ENSMUSG00000024104/ENSMUSG00000057738,C5
GO_INTERLEUKIN_1_SECRETION,5,5/560,53/16881,0.24059853623150995,100038909/232801/195046/11303/18726,Gm14548/Lilra5/Nlrp1a/Abca1/Lilra6,ENSMUSG00000074417/ENSMUSG00000070873/ENSMUSG00000069830/ENSMUSG00000015243/ENSMUSG00000030427,C5
GO_REGULATION_OF_STEROL_TRANSPORT,5,5/560,53/16881,0.24059853623150995,11303/11816/11305/27403/66508,Abca1/Apoe/Abca2/Abca7/Lamtor1,ENSMUSG00000015243/ENSMUSG00000002985/ENSMUSG00000026944/ENSMUSG00000035722/ENSMUSG00000030842,C5
GO_SYNCYTIUM_FORMATION,5,5/560,53/16881,0.24059853623150995,23886/216161/16190/17886/12334,Gdf15/Sbno2/Il4ra/Myh9/Capn2,ENSMUSG00000038508/ENSMUSG00000035673/ENSMUSG00000030748/ENSMUSG00000022443/ENSMUSG00000026509,C5
GO_ACTOMYOSIN,6,6/560,71/16881,0.24059853623150995,360013/23921/77579/30794/17886/19303,Myo18a/Sh2b2/Myh10/Pdlim4/Myh9/Pxn,ENSMUSG00000000631/ENSMUSG00000005057/ENSMUSG00000020900/ENSMUSG00000020388/ENSMUSG00000022443/ENSMUSG00000029528,C5
GO_NEGATIVE_REGULATION_OF_PROTEIN_COMPLEX_DISASSEMBLY,6,6/560,71/16881,0.24059853623150995,68732/11789/110253/20947/28006/20740,Carmil1/Apc/Triobp/Swap70/Washc2/Sptan1,ENSMUSG00000021338/ENSMUSG00000005871/ENSMUSG00000033088/ENSMUSG00000031015/ENSMUSG00000024104/ENSMUSG00000057738,C5
GO_PLATELET_DEGRANULATION,9,9/560,131/16881,0.24059853623150995,20910/21825/16000/12527/192176/14268/21894/218454/74840,Stxbp1/Thbs1/Igf1/Cd9/Flna/Fn1/Tln1/Lhfpl2/Manf,ENSMUSG00000026797/ENSMUSG00000040152/ENSMUSG00000020053/ENSMUSG00000030342/ENSMUSG00000031328/ENSMUSG00000026193/ENSMUSG00000028465/ENSMUSG00000045312/ENSMUSG00000032575,C5
GO_REGULATION_OF_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT,9,9/560,131/16881,0.24059853623150995,12978/20304/23921/16000/14255/16168/20848/12568/16452,Csf1r/Ccl5/Sh2b2/Igf1/Flt3/Il15/Stat3/Cdk5/Jak2,ENSMUSG00000024621/ENSMUSG00000035042/ENSMUSG00000005057/ENSMUSG00000020053/ENSMUSG00000042817/ENSMUSG00000031712/ENSMUSG00000004040/ENSMUSG00000028969/ENSMUSG00000024789,C5
GO_INTERLEUKIN_1_PRODUCTION,7,7/560,91/16881,0.24203012040815144,100038909/232801/195046/11303/18726/16000/16452,Gm14548/Lilra5/Nlrp1a/Abca1/Lilra6/Igf1/Jak2,ENSMUSG00000074417/ENSMUSG00000070873/ENSMUSG00000069830/ENSMUSG00000015243/ENSMUSG00000030427/ENSMUSG00000020053/ENSMUSG00000024789,C5
GO_PLASMA_MEMBRANE_ORGANIZATION,7,7/560,91/16881,0.24203012040815144,229521/70310/13823/77579/434204/27403/105722,Syt11/Plscr3/Epb41l3/Myh10/Whamm/Abca7/Ano6,ENSMUSG00000068923/ENSMUSG00000019461/ENSMUSG00000024044/ENSMUSG00000020900/ENSMUSG00000045795/ENSMUSG00000035722/ENSMUSG00000064210,C5
GO_RUFFLE_MEMBRANE,7,7/560,91/16881,0.24203012040815144,215632/17913/11789/21894/13367/19271/27403,Psd4/Myo1c/Apc/Tln1/Diaph1/Ptprj/Abca7,ENSMUSG00000026979/ENSMUSG00000017774/ENSMUSG00000005871/ENSMUSG00000028465/ENSMUSG00000024456/ENSMUSG00000025314/ENSMUSG00000035722,C5
GO_STEROL_HOMEOSTASIS,7,7/560,91/16881,0.24203012040815144,70310/11303/19883/11816/12484/11305/66508,Plscr3/Abca1/Rora/Apoe/Cd24a/Abca2/Lamtor1,ENSMUSG00000019461/ENSMUSG00000015243/ENSMUSG00000032238/ENSMUSG00000002985/ENSMUSG00000047139/ENSMUSG00000026944/ENSMUSG00000030842,C5
GO_GOLGI_ASSOCIATED_VESICLE_MEMBRANE,8,8/560,111/16881,0.24203012040815144,110557/15018/15015/12010/12847/227648/15040/68137,H2-Q6/H2-Q7/H2-Q4/B2m/Copa/Sec16a/H2-T23/Kdelr1,ENSMUSG00000073409/ENSMUSG00000060550/ENSMUSG00000035929/ENSMUSG00000060802/ENSMUSG00000026553/ENSMUSG00000026924/ENSMUSG00000067212/ENSMUSG00000002778,C5
GO_ACTIVATION_OF_MAPK_ACTIVITY,10,10/560,153/16881,0.24203012040815144,121021/12273/21825/16000/404710/23886/26409/78294/30957/19766,Cspg4/C5ar1/Thbs1/Igf1/Iqgap3/Gdf15/Map3k7/Rps27a/Mapk8ip3/Ripk1,ENSMUSG00000032911/ENSMUSG00000049130/ENSMUSG00000040152/ENSMUSG00000020053/ENSMUSG00000028068/ENSMUSG00000038508/ENSMUSG00000028284/ENSMUSG00000020460/ENSMUSG00000024163/ENSMUSG00000021408,C5
GO_MONOSACCHARIDE_METABOLIC_PROCESS,10,10/560,153/16881,0.24203012040815144,72141/19883/16000/76969/17158/64652/16332/16548/69802/231841,Adpgk/Rora/Igf1/Chst1/Man2a1/Nisch/Inppl1/Khk/Cox11/Brat1,ENSMUSG00000025236/ENSMUSG00000032238/ENSMUSG00000020053/ENSMUSG00000027221/ENSMUSG00000024085/ENSMUSG00000021910/ENSMUSG00000032737/ENSMUSG00000029162/ENSMUSG00000020544/ENSMUSG00000000148,C5
GO_CELL_ADHESION_MOLECULE_BINDING,24,24/560,482/16881,0.24459803546325007,18733/11501/21810/100041146/17387/19126/16419/21825/16000/20846/54132/12527/192176/14268/21894/18797/26936/17886/20947/12561/64652/27176/19303/20740,Pirb/Adam8/Tgfbi/Gm15448/Mmp14/Prom1/Itgb5/Thbs1/Igf1/Stat1/Pdlim1/Cd9/Flna/Fn1/Tln1/Plcb3/Mprip/Myh9/Swap70/Cdh4/Nisch/Rpl7a/Pxn/Sptan1,ENSMUSG00000058818/ENSMUSG00000025473/ENSMUSG00000035493/ENSMUSG00000074419/ENSMUSG00000000957/ENSMUSG00000029086/ENSMUSG00000022817/ENSMUSG00000040152/ENSMUSG00000020053/ENSMUSG00000026104/ENSMUSG00000055044/ENSMUSG00000030342/ENSMUSG00000031328/ENSMUSG00000026193/ENSMUSG00000028465/ENSMUSG00000024960/ENSMUSG00000005417/ENSMUSG00000022443/ENSMUSG00000031015/ENSMUSG00000000305/ENSMUSG00000021910/ENSMUSG00000062647/ENSMUSG00000029528/ENSMUSG00000057738,C5
GO_PEPTIDYL_TYROSINE_MODIFICATION,19,19/560,361/16881,0.2503776572500628,121021/12978/20354/232801/20304/17179/18186/13548/16162/16000/14255/79566/12484/19271/233328/16168/20848/54721/16452,Cspg4/Csf1r/Sema4d/Lilra5/Ccl5/Matk/Nrp1/Dyrk1a/Il12rb2/Igf1/Flt3/Sh3bp5l/Cd24a/Ptprj/Lrrk1/Il15/Stat3/Tyk2/Jak2,ENSMUSG00000032911/ENSMUSG00000024621/ENSMUSG00000021451/ENSMUSG00000070873/ENSMUSG00000035042/ENSMUSG00000004933/ENSMUSG00000025810/ENSMUSG00000022897/ENSMUSG00000018341/ENSMUSG00000020053/ENSMUSG00000042817/ENSMUSG00000013646/ENSMUSG00000047139/ENSMUSG00000025314/ENSMUSG00000015133/ENSMUSG00000031712/ENSMUSG00000004040/ENSMUSG00000032175/ENSMUSG00000024789,C5
GO_CELL_DIFFERENTIATION_INVOLVED_IN_KIDNEY_DEVELOPMENT,5,5/560,54/16881,0.25059557556175455,19126/97064/20846/12484/16449,Prom1/Wwtr1/Stat1/Cd24a/Jag1,ENSMUSG00000029086/ENSMUSG00000027803/ENSMUSG00000026104/ENSMUSG00000047139/ENSMUSG00000027276,C5
GO_NEGATIVE_REGULATION_OF_MYELOID_LEUKOCYTE_DIFFERENTIATION,5,5/560,54/16881,0.25059557556175455,100038909/18733/100041146/238377/18726,Gm14548/Pirb/Gm15448/Gpr68/Lilra6,ENSMUSG00000074417/ENSMUSG00000058818/ENSMUSG00000074419/ENSMUSG00000047415/ENSMUSG00000030427,C5
GO_TRANSCRIPTION_BY_RNA_POLYMERASE_III,5,5/560,54/16881,0.25059557556175455,74370/227644/269252/233863/69833,Rptor/Snapc4/Gtf3c4/Gtf3c1/Polr2f,ENSMUSG00000025583/ENSMUSG00000036281/ENSMUSG00000035666/ENSMUSG00000032777/ENSMUSG00000033020,C5
GO_COATED_VESICLE_MEMBRANE,11,11/560,176/16881,0.2508014968593587,110557/16004/15018/11816/12527/15015/12010/12847/227648/15040/68137,H2-Q6/Igf2r/H2-Q7/Apoe/Cd9/H2-Q4/B2m/Copa/Sec16a/H2-T23/Kdelr1,ENSMUSG00000073409/ENSMUSG00000023830/ENSMUSG00000060550/ENSMUSG00000002985/ENSMUSG00000030342/ENSMUSG00000035929/ENSMUSG00000060802/ENSMUSG00000026553/ENSMUSG00000026924/ENSMUSG00000067212/ENSMUSG00000002778,C5
GO_NEURON_PROJECTION_EXTENSION_INVOLVED_IN_NEURON_PROJECTION_GUIDANCE,4,4/560,37/16881,0.25150012987651416,20354/214968/18186/11658,Sema4d/Sema6d/Nrp1/Alcam,ENSMUSG00000021451/ENSMUSG00000027200/ENSMUSG00000025810/ENSMUSG00000022636,C5
GO_POSITIVE_REGULATION_OF_EPIDERMIS_DEVELOPMENT,4,4/560,37/16881,0.25150012987651416,101706/17979/19207/71913,Numa1/Ncoa3/Ptch2/Tmem79,ENSMUSG00000066306/ENSMUSG00000027678/ENSMUSG00000028681/ENSMUSG00000001420,C5
GO_SPLICEOSOMAL_SNRNP_ASSEMBLY,4,4/560,37/16881,0.25150012987651416,53890/107686/50783/20641,Sart3/Snrpd2/Lsm4/Snrpd1,ENSMUSG00000018974/ENSMUSG00000040824/ENSMUSG00000031848/ENSMUSG00000002477,C5
GO_VIRION_ASSEMBLY,4,4/560,37/16881,0.25150012987651416,11816/268373/78294/68953,Apoe/Ppia/Rps27a/Chmp2a,ENSMUSG00000002985/ENSMUSG00000071866/ENSMUSG00000020460/ENSMUSG00000033916,C5
GO_LYSOSOMAL_LUMEN,7,7/560,92/16881,0.25150012987651416,121021/14733/13038/20970/20969/15519/13039,Cspg4/Gpc1/Ctsk/Sdc3/Sdc1/Hsp90aa1/Ctsl,ENSMUSG00000032911/ENSMUSG00000034220/ENSMUSG00000028111/ENSMUSG00000025743/ENSMUSG00000020592/ENSMUSG00000021270/ENSMUSG00000021477,C5
GO_POSITIVE_REGULATION_OF_ORGANELLE_ASSEMBLY,6,6/560,73/16881,0.25573821852205003,17427/101706/56455/234776/20969/15194,Mns1/Numa1/Dynll1/Atmin/Sdc1/Htt,ENSMUSG00000032221/ENSMUSG00000066306/ENSMUSG00000009013/ENSMUSG00000047388/ENSMUSG00000020592/ENSMUSG00000029104,C5
GO_PROTEOGLYCAN_METABOLIC_PROCESS,6,6/560,73/16881,0.25573821852205003,121021/14733/217119/54616/212898/15531,Cspg4/Gpc1/Xylt2/Extl3/Dse/Ndst1,ENSMUSG00000032911/ENSMUSG00000034220/ENSMUSG00000020868/ENSMUSG00000021978/ENSMUSG00000039497/ENSMUSG00000054008,C5
GO_REGULATION_OF_AUTOPHAGY,17,17/560,315/16881,0.25680506345273174,16847/54384/237782/74370/102058/320528/26409/21871/74302/20848/66508/100855/98402/12568/170822/15194/68576,Lepr/Mtmr7/Smcr8/Rptor/Exoc8/Vps13c/Map3k7/Atp6v0a2/Mtmr3/Stat3/Lamtor1/Tbc1d14/Sh3bp4/Cdk5/Usp33/Htt/Lamtor5,ENSMUSG00000057722/ENSMUSG00000039431/ENSMUSG00000049323/ENSMUSG00000025583/ENSMUSG00000074030/ENSMUSG00000035284/ENSMUSG00000028284/ENSMUSG00000038023/ENSMUSG00000034354/ENSMUSG00000004040/ENSMUSG00000030842/ENSMUSG00000029192/ENSMUSG00000036206/ENSMUSG00000028969/ENSMUSG00000025437/ENSMUSG00000029104/ENSMUSG00000087260,C5
GO_AMINE_CATABOLIC_PROCESS,3,3/560,22/16881,0.257083337154496,100434/70789/212503,Slc44a1/Kynu/Paox,ENSMUSG00000028412/ENSMUSG00000026866/ENSMUSG00000025464,C5
GO_ATPASE_DEPENDENT_TRANSMEMBRANE_TRANSPORT_COMPLEX,3,3/560,22/16881,0.257083337154496,232975/11305/27403,Atp1a3/Abca2/Abca7,ENSMUSG00000040907/ENSMUSG00000026944/ENSMUSG00000035722,C5
GO_DYNEIN_COMPLEX_BINDING,3,3/560,22/16881,0.257083337154496,101706/11789/234776,Numa1/Apc/Atmin,ENSMUSG00000066306/ENSMUSG00000005871/ENSMUSG00000047388,C5
GO_ENDOPLASMIC_RETICULUM_CALCIUM_ION_HOMEOSTASIS,3,3/560,22/16881,0.257083337154496,64209/229877/12028,Herpud1/Rap1gds1/Bax,ENSMUSG00000031770/ENSMUSG00000028149/ENSMUSG00000003873,C5
GO_INTERLEUKIN_6_BIOSYNTHETIC_PROCESS,3,3/560,22/16881,0.257083337154496,332579/12608/20848,Card9/Cebpb/Stat3,ENSMUSG00000026928/ENSMUSG00000056501/ENSMUSG00000004040,C5
GO_MAINTENANCE_OF_PROTEIN_LOCATION_IN_NUCLEUS,3,3/560,22/16881,0.257083337154496,12568/22166/338467,Cdk5/Txn1/Morc3,ENSMUSG00000028969/ENSMUSG00000028367/ENSMUSG00000039456,C5
GO_MODIFIED_AMINO_ACID_TRANSPORT,3,3/560,22/16881,0.257083337154496,30805/14276/17250,Slc22a4/Folr2/Abcc1,ENSMUSG00000020334/ENSMUSG00000032725/ENSMUSG00000023088,C5
GO_MYOSIN_FILAMENT,3,3/560,22/16881,0.257083337154496,77579/17886/53311,Myh10/Myh9/Mybph,ENSMUSG00000020900/ENSMUSG00000022443/ENSMUSG00000042451,C5
GO_POSITIVE_REGULATION_OF_STEROL_TRANSPORT,3,3/560,22/16881,0.257083337154496,11303/11816/27403,Abca1/Apoe/Abca7,ENSMUSG00000015243/ENSMUSG00000002985/ENSMUSG00000035722,C5
GO_VACUOLAR_ACIDIFICATION,3,3/560,22/16881,0.257083337154496,18173/66049/21871,Slc11a1/Rogdi/Atp6v0a2,ENSMUSG00000026177/ENSMUSG00000022540/ENSMUSG00000038023,C5
GO_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY,7,7/560,93/16881,0.257083337154496,13038/666468/244144/22225/12334/13039/170822,Ctsk/Atg4a/Usp35/Usp5/Capn2/Ctsl/Usp33,ENSMUSG00000028111/ENSMUSG00000079418/ENSMUSG00000035713/ENSMUSG00000038429/ENSMUSG00000026509/ENSMUSG00000021477/ENSMUSG00000025437,C5
GO_MONOAMINE_TRANSPORT,7,7/560,93/16881,0.257083337154496,100038909/18733/229521/15567/100041146/18726/64652,Gm14548/Pirb/Syt11/Slc6a4/Gm15448/Lilra6/Nisch,ENSMUSG00000074417/ENSMUSG00000058818/ENSMUSG00000068923/ENSMUSG00000020838/ENSMUSG00000074419/ENSMUSG00000030427/ENSMUSG00000021910,C5
GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION,7,7/560,93/16881,0.257083337154496,18733/11501/100041146/17387/105855/16168/16190,Pirb/Adam8/Gm15448/Mmp14/Nckap1l/Il15/Il4ra,ENSMUSG00000058818/ENSMUSG00000025473/ENSMUSG00000074419/ENSMUSG00000000957/ENSMUSG00000022488/ENSMUSG00000031712/ENSMUSG00000030748,C5
GO_NEGATIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,23,23/560,461/16881,0.257083337154496,100038909/18733/58205/12608/15001/100041146/15018/238377/21825/17381/18726/74748/229473/19271/16190/18782/69550/19172/109934/338366/15040/434341/22083,Gm14548/Pirb/Pdcd1lg2/Cebpb/H2-Oa/Gm15448/H2-Q7/Gpr68/Thbs1/Mmp12/Lilra6/Slamf8/Tmem131l/Ptprj/Il4ra/Pla2g2d/Bst2/Psmb4/Abr/Mia3/H2-T23/Nlrc5/Ctr9,ENSMUSG00000074417/ENSMUSG00000058818/ENSMUSG00000016498/ENSMUSG00000056501/ENSMUSG00000024334/ENSMUSG00000074419/ENSMUSG00000060550/ENSMUSG00000047415/ENSMUSG00000040152/ENSMUSG00000049723/ENSMUSG00000030427/ENSMUSG00000053318/ENSMUSG00000033767/ENSMUSG00000025314/ENSMUSG00000030748/ENSMUSG00000041202/ENSMUSG00000046718/ENSMUSG00000005779/ENSMUSG00000017631/ENSMUSG00000056050/ENSMUSG00000067212/ENSMUSG00000074151/ENSMUSG00000005609,C5
GO_EXTRACELLULAR_MATRIX_BINDING,5,5/560,55/16881,0.2575118699530259,14733/21810/21825/104099/16785,Gpc1/Tgfbi/Thbs1/Itga9/Rpsa,ENSMUSG00000034220/ENSMUSG00000035493/ENSMUSG00000040152/ENSMUSG00000039115/ENSMUSG00000032518,C5
GO_PROTEIN_SELF_ASSOCIATION,5,5/560,55/16881,0.2575118699530259,11501/12481/20304/13548/14255,Adam8/Cd2/Ccl5/Dyrk1a/Flt3,ENSMUSG00000025473/ENSMUSG00000027863/ENSMUSG00000035042/ENSMUSG00000022897/ENSMUSG00000042817,C5
GO_STEROL_BINDING,5,5/560,55/16881,0.2575118699530259,71720/11303/19126/19883/11816,Osbpl3/Abca1/Prom1/Rora/Apoe,ENSMUSG00000029822/ENSMUSG00000015243/ENSMUSG00000029086/ENSMUSG00000032238/ENSMUSG00000002985,C5
GO_VACUOLE_ORGANIZATION,10,10/560,156/16881,0.2575118699530259,11303/114128/245860/666468/237782/17158/56453/74302/66508/100855,Abca1/Laptm4b/Atg9a/Atg4a/Smcr8/Man2a1/Mbtps1/Mtmr3/Lamtor1/Tbc1d14,ENSMUSG00000015243/ENSMUSG00000022257/ENSMUSG00000033124/ENSMUSG00000079418/ENSMUSG00000049323/ENSMUSG00000024085/ENSMUSG00000031835/ENSMUSG00000034354/ENSMUSG00000030842/ENSMUSG00000029192,C5
GO_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS,4,4/560,38/16881,0.26142295014320743,13548/16000/11816/27403,Dyrk1a/Igf1/Apoe/Abca7,ENSMUSG00000022897/ENSMUSG00000020053/ENSMUSG00000002985/ENSMUSG00000035722,C5
GO_MYOBLAST_FUSION,4,4/560,38/16881,0.26142295014320743,23886/16190/17886/12334,Gdf15/Il4ra/Myh9/Capn2,ENSMUSG00000038508/ENSMUSG00000030748/ENSMUSG00000022443/ENSMUSG00000026509,C5
GO_PHOSPHATIDYLINOSITOL_3_4_5_TRISPHOSPHATE_BINDING,4,4/560,38/16881,0.26142295014320743,69710/246177/17909/28006,Arap1/Myo1g/Myo10/Washc2,ENSMUSG00000032812/ENSMUSG00000020437/ENSMUSG00000022272/ENSMUSG00000024104,C5
GO_POSITIVE_REGULATION_OF_MYOTUBE_DIFFERENTIATION,4,4/560,38/16881,0.26142295014320743,17387/23886/16190/12334,Mmp14/Gdf15/Il4ra/Capn2,ENSMUSG00000000957/ENSMUSG00000038508/ENSMUSG00000030748/ENSMUSG00000026509,C5
GO_POSITIVE_REGULATION_OF_SIGNALING_RECEPTOR_ACTIVITY,4,4/560,38/16881,0.26142295014320743,17979/66521/12568/231889,Ncoa3/Rwdd1/Cdk5/Bud31,ENSMUSG00000027678/ENSMUSG00000019782/ENSMUSG00000028969/ENSMUSG00000038722,C5
GO_POSITIVE_REGULATION_OF_TOR_SIGNALING,4,4/560,38/16881,0.26142295014320743,237782/74370/66508/68576,Smcr8/Rptor/Lamtor1/Lamtor5,ENSMUSG00000049323/ENSMUSG00000025583/ENSMUSG00000030842/ENSMUSG00000087260,C5
GO_REGULATION_OF_KERATINOCYTE_DIFFERENTIATION,4,4/560,38/16881,0.26142295014320743,13038/101706/17979/13039,Ctsk/Numa1/Ncoa3/Ctsl,ENSMUSG00000028111/ENSMUSG00000066306/ENSMUSG00000027678/ENSMUSG00000021477,C5
GO_SM_LIKE_PROTEIN_FAMILY_COMPLEX,6,6/560,74/16881,0.26142295014320743,53890/107686/320632/50783/68479/20641,Sart3/Snrpd2/Snrnp200/Lsm4/Phf5a/Snrpd1,ENSMUSG00000018974/ENSMUSG00000040824/ENSMUSG00000003660/ENSMUSG00000031848/ENSMUSG00000061360/ENSMUSG00000002477,C5
GO_ACUTE_INFLAMMATORY_RESPONSE,8,8/560,114/16881,0.26142295014320743,11501/13421/12608/14268/64292/20848/105722/15040,Adam8/Dnase1l3/Cebpb/Fn1/Ptges/Stat3/Ano6/H2-T23,ENSMUSG00000025473/ENSMUSG00000025279/ENSMUSG00000056501/ENSMUSG00000026193/ENSMUSG00000050737/ENSMUSG00000004040/ENSMUSG00000064210/ENSMUSG00000067212,C5
GO_CONTRACTILE_ACTIN_FILAMENT_BUNDLE_ASSEMBLY,7,7/560,94/16881,0.26319842478791217,69710/14744/16419/18186/68732/68606/19303,Arap1/Gpr65/Itgb5/Nrp1/Carmil1/Ppm1f/Pxn,ENSMUSG00000032812/ENSMUSG00000021886/ENSMUSG00000022817/ENSMUSG00000025810/ENSMUSG00000021338/ENSMUSG00000026181/ENSMUSG00000029528,C5
GO_POSITIVE_REGULATION_OF_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT,7,7/560,94/16881,0.26319842478791217,12978/20304/16000/14255/16168/20848/16452,Csf1r/Ccl5/Igf1/Flt3/Il15/Stat3/Jak2,ENSMUSG00000024621/ENSMUSG00000035042/ENSMUSG00000020053/ENSMUSG00000042817/ENSMUSG00000031712/ENSMUSG00000004040/ENSMUSG00000024789,C5
