Description,Count,GeneRatio,BgRatio,p.adjust,ENTREZIDs,SYMBOLs,ENSEMBLIDs,category,subcategory,module
KEGG_TYROSINE_METABOLISM,2,2/169,41/5055,0.9109321060128147,12846/30949,Comt/Lcmt1,ENSMUSG00000000326/ENSMUSG00000030763,C2,CP:KEGG,2
KEGG_BLADDER_CANCER,2,2/169,42/5055,0.9109321060128147,13645/22059,Egf/Trp53,ENSMUSG00000028017/ENSMUSG00000059552,C2,CP:KEGG,2
KEGG_LYSINE_DEGRADATION,2,2/169,44/5055,0.9109321060128147,72535/110695,Aldh1b1/Aldh7a1,ENSMUSG00000035561/ENSMUSG00000053644,C2,CP:KEGG,2
KEGG_P53_SIGNALING_PATHWAY,3,3/169,66/5055,0.9109321060128147,16000/22401/22059,Igf1/Zmat3/Trp53,ENSMUSG00000020053/ENSMUSG00000027663/ENSMUSG00000059552,C2,CP:KEGG,2
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,3,3/169,69/5055,0.9109321060128147,11972/11974/11973,Atp6v0d1/Atp6v0e/Atp6v1e1,ENSMUSG00000013160/ENSMUSG00000015575/ENSMUSG00000019210,C2,CP:KEGG,2
KEGG_MELANOMA,3,3/169,71/5055,0.9109321060128147,16000/13645/22059,Igf1/Egf/Trp53,ENSMUSG00000020053/ENSMUSG00000028017/ENSMUSG00000059552,C2,CP:KEGG,2
KEGG_PYRIMIDINE_METABOLISM,4,4/169,95/5055,0.9109321060128147,69745/18102/20016/26462,Pold4/Nme1/Polr1c/Txnrd2,ENSMUSG00000024854/ENSMUSG00000037601/ENSMUSG00000067148/ENSMUSG00000075704,C2,CP:KEGG,2
KEGG_MELANOGENESIS,4,4/169,99/5055,0.9109321060128147,26427/12913/12314/22417,Creb3l1/Creb3/Calm2/Wnt4,ENSMUSG00000027230/ENSMUSG00000028466/ENSMUSG00000036438/ENSMUSG00000036856,C2,CP:KEGG,2
KEGG_CELL_CYCLE,5,5/169,123/5055,0.9109321060128147,66156/18538/71890/21402/22059,Anapc11/Pcna/Mad2l2/Skp1a/Trp53,ENSMUSG00000025135/ENSMUSG00000027342/ENSMUSG00000029003/ENSMUSG00000036309/ENSMUSG00000059552,C2,CP:KEGG,2
KEGG_N_GLYCAN_BIOSYNTHESIS,2,2/169,45/5055,0.9136544217852479,208624/66248,Alg3/Alg5,ENSMUSG00000033809/ENSMUSG00000036632,C2,CP:KEGG,2
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,1,1/169,18/5055,0.9231381256483718,66350,Pla2g12a,ENSMUSG00000027999,C2,CP:KEGG,2
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,3,3/169,76/5055,0.9333799623307998,68671/66350/50784,Pcyt2/Pla2g12a/Plpp2,ENSMUSG00000025137/ENSMUSG00000027999/ENSMUSG00000052151,C2,CP:KEGG,2
KEGG_NITROGEN_METABOLISM,1,1/169,22/5055,0.9444359785896475,12351,Car4,ENSMUSG00000000805,C2,CP:KEGG,2
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION,1,1/169,22/5055,0.9444359785896475,12351,Car4,ENSMUSG00000000805,C2,CP:KEGG,2
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,1,1/169,24/5055,0.9444359785896475,12182,Bst1,ENSMUSG00000029082,C2,CP:KEGG,2
KEGG_PROTEIN_EXPORT,1,1/169,24/5055,0.9444359785896475,66384,Srp19,ENSMUSG00000014504,C2,CP:KEGG,2
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,2,2/169,49/5055,0.9444359785896475,56532/20016,Ripk3/Polr1c,ENSMUSG00000022221/ENSMUSG00000067148,C2,CP:KEGG,2
KEGG_ENDOMETRIAL_CANCER,2,2/169,52/5055,0.9444359785896475,13645/22059,Egf/Trp53,ENSMUSG00000028017/ENSMUSG00000059552,C2,CP:KEGG,2
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,2,2/169,53/5055,0.9444359785896475,12460/22059,Ccs/Trp53,ENSMUSG00000034108/ENSMUSG00000059552,C2,CP:KEGG,2
KEGG_HEDGEHOG_SIGNALING_PATHWAY,2,2/169,53/5055,0.9444359785896475,19207/22417,Ptch2/Wnt4,ENSMUSG00000028681/ENSMUSG00000036856,C2,CP:KEGG,2
KEGG_NON_SMALL_CELL_LUNG_CANCER,2,2/169,54/5055,0.9444359785896475,13645/22059,Egf/Trp53,ENSMUSG00000028017/ENSMUSG00000059552,C2,CP:KEGG,2
KEGG_APOPTOSIS,3,3/169,82/5055,0.9444359785896475,12333/12369/22059,Capn1/Casp7/Trp53,ENSMUSG00000024942/ENSMUSG00000025076/ENSMUSG00000059552,C2,CP:KEGG,2
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,3,3/169,83/5055,0.9444359785896475,16000/66156/71890,Igf1/Anapc11/Mad2l2,ENSMUSG00000020053/ENSMUSG00000025135/ENSMUSG00000029003,C2,CP:KEGG,2
KEGG_TGF_BETA_SIGNALING_PATHWAY,3,3/169,84/5055,0.9444359785896475,72508/58988/21402,Rps6kb1/Rps6kb2/Skp1a,ENSMUSG00000020516/ENSMUSG00000024830/ENSMUSG00000036309,C2,CP:KEGG,2
KEGG_ERBB_SIGNALING_PATHWAY,3,3/169,87/5055,0.9444359785896475,72508/58988/13645,Rps6kb1/Rps6kb2/Egf,ENSMUSG00000020516/ENSMUSG00000024830/ENSMUSG00000028017,C2,CP:KEGG,2
KEGG_ACUTE_MYELOID_LEUKEMIA,2,2/169,57/5055,0.9538480610877379,72508/58988,Rps6kb1/Rps6kb2,ENSMUSG00000020516/ENSMUSG00000024830,C2,CP:KEGG,2
KEGG_GALACTOSE_METABOLISM,1,1/169,26/5055,0.9552323988415083,74246,Gale,ENSMUSG00000028671,C2,CP:KEGG,2
KEGG_ARACHIDONIC_ACID_METABOLISM,2,2/169,58/5055,0.9552323988415083,17001/66350,Ltc4s/Pla2g12a,ENSMUSG00000020377/ENSMUSG00000027999,C2,CP:KEGG,2
KEGG_HOMOLOGOUS_RECOMBINATION,1,1/169,27/5055,0.9560124441274743,69745,Pold4,ENSMUSG00000024854,C2,CP:KEGG,2
KEGG_RNA_POLYMERASE,1,1/169,27/5055,0.9560124441274743,20016,Polr1c,ENSMUSG00000067148,C2,CP:KEGG,2
KEGG_LINOLEIC_ACID_METABOLISM,1,1/169,28/5055,0.962099190373829,66350,Pla2g12a,ENSMUSG00000027999,C2,CP:KEGG,2
KEGG_O_GLYCAN_BIOSYNTHESIS,1,1/169,30/5055,0.962099190373829,56336,B4galt5,ENSMUSG00000017929,C2,CP:KEGG,2
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,1,1/169,31/5055,0.962099190373829,71670,Acy3,ENSMUSG00000024866,C2,CP:KEGG,2
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,2,2/169,63/5055,0.962099190373829,14866/56615,Gstm5/Mgst1,ENSMUSG00000004032/ENSMUSG00000008540,C2,CP:KEGG,2
KEGG_DRUG_METABOLISM_CYTOCHROME_P450,2,2/169,65/5055,0.962099190373829,14866/56615,Gstm5/Mgst1,ENSMUSG00000004032/ENSMUSG00000008540,C2,CP:KEGG,2
KEGG_LEISHMANIA_INFECTION,2,2/169,65/5055,0.962099190373829,12946/246256,Cr1l/Fcgr4,ENSMUSG00000016481/ENSMUSG00000059089,C2,CP:KEGG,2
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,4,4/169,132/5055,0.962099190373829,22194/66156/21402/19823,Ube2e1/Anapc11/Skp1a/Rnf7,ENSMUSG00000021774/ENSMUSG00000025135/ENSMUSG00000036309/ENSMUSG00000051234,C2,CP:KEGG,2
KEGG_BASAL_TRANSCRIPTION_FACTORS,1,1/169,34/5055,0.9624601195766458,229906,Gtf2b,ENSMUSG00000028271,C2,CP:KEGG,2
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,2,2/169,69/5055,0.9624601195766458,12317/13039,Calr/Ctsl,ENSMUSG00000003814/ENSMUSG00000021477,C2,CP:KEGG,2
KEGG_LONG_TERM_DEPRESSION,2,2/169,69/5055,0.9624601195766458,16000/66350,Igf1/Pla2g12a,ENSMUSG00000020053/ENSMUSG00000027999,C2,CP:KEGG,2
KEGG_PANCREATIC_CANCER,2,2/169,70/5055,0.9624601195766458,13645/22059,Egf/Trp53,ENSMUSG00000028017/ENSMUSG00000059552,C2,CP:KEGG,2
KEGG_INSULIN_SIGNALING_PATHWAY,4,4/169,135/5055,0.9624601195766458,72508/58988/12314/14252,Rps6kb1/Rps6kb2/Calm2/Flot2,ENSMUSG00000020516/ENSMUSG00000024830/ENSMUSG00000036438/ENSMUSG00000061981,C2,CP:KEGG,2
KEGG_SPHINGOLIPID_METABOLISM,1,1/169,39/5055,0.9999929686271026,50784,Plpp2,ENSMUSG00000052151,C2,CP:KEGG,2
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,1,1/169,42/5055,0.9999929686271026,16000,Igf1,ENSMUSG00000020053,C2,CP:KEGG,2
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,1,1/169,42/5055,0.9999929686271026,69583,Tnfsf13,ENSMUSG00000089669,C2,CP:KEGG,2
KEGG_TASTE_TRANSDUCTION,1,1/169,43/5055,0.9999929686271026,14688,Gnb1,ENSMUSG00000029064,C2,CP:KEGG,2
KEGG_STARCH_AND_SUCROSE_METABOLISM,1,1/169,45/5055,0.9999929686271026,67883,Uxs1,ENSMUSG00000057363,C2,CP:KEGG,2
KEGG_NOTCH_SIGNALING_PATHWAY,1,1/169,47/5055,0.9999929686271026,80904,Dtx3,ENSMUSG00000040415,C2,CP:KEGG,2
KEGG_STEROID_HORMONE_BIOSYNTHESIS,1,1/169,52/5055,0.9999929686271026,12846,Comt,ENSMUSG00000000326,C2,CP:KEGG,2
KEGG_COLORECTAL_CANCER,1,1/169,62/5055,0.9999929686271026,22059,Trp53,ENSMUSG00000059552,C2,CP:KEGG,2
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,1,1/169,67/5055,0.9999929686271026,68465,Adipor2,ENSMUSG00000030168,C2,CP:KEGG,2
KEGG_LONG_TERM_POTENTIATION,1,1/169,68/5055,0.9999929686271026,12314,Calm2,ENSMUSG00000036438,C2,CP:KEGG,2
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,1,1/169,70/5055,0.9999929686271026,12946,Cr1l,ENSMUSG00000016481,C2,CP:KEGG,2
KEGG_CHRONIC_MYELOID_LEUKEMIA,1,1/169,73/5055,0.9999929686271026,22059,Trp53,ENSMUSG00000059552,C2,CP:KEGG,2
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,1,1/169,75/5055,0.9999929686271026,12314,Calm2,ENSMUSG00000036438,C2,CP:KEGG,2
KEGG_VEGF_SIGNALING_PATHWAY,1,1/169,75/5055,0.9999929686271026,66350,Pla2g12a,ENSMUSG00000027999,C2,CP:KEGG,2
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,1,1/169,78/5055,0.9999929686271026,66350,Pla2g12a,ENSMUSG00000027999,C2,CP:KEGG,2
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,1,1/169,83/5055,0.9999929686271026,16000,Igf1,ENSMUSG00000020053,C2,CP:KEGG,2
KEGG_SMALL_CELL_LUNG_CANCER,1,1/169,83/5055,0.9999929686271026,22059,Trp53,ENSMUSG00000059552,C2,CP:KEGG,2
KEGG_DILATED_CARDIOMYOPATHY,1,1/169,89/5055,0.9999929686271026,16000,Igf1,ENSMUSG00000020053,C2,CP:KEGG,2
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,1,1/169,117/5055,0.9999929686271026,246256,Fcgr4,ENSMUSG00000059089,C2,CP:KEGG,2
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,1,1/169,120/5055,0.9999929686271026,246256,Fcgr4,ENSMUSG00000059089,C2,CP:KEGG,2
KEGG_CELL_ADHESION_MOLECULES_CAMS,1,1/169,129/5055,0.9999929686271026,17136,Mag,ENSMUSG00000036634,C2,CP:KEGG,2
KEGG_TIGHT_JUNCTION,1,1/169,131/5055,0.9999929686271026,68328,Rab13,ENSMUSG00000027935,C2,CP:KEGG,2
KEGG_JAK_STAT_SIGNALING_PATHWAY,1,1/169,147/5055,0.9999929686271026,18413,Osm,ENSMUSG00000058755,C2,CP:KEGG,2
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,1,1/169,266/5055,0.9999929686271026,140795,P2ry14,ENSMUSG00000036381,C2,CP:KEGG,2
KEGG_OLFACTORY_TRANSDUCTION,1,1/169,337/5055,0.9999929686271026,12314,Calm2,ENSMUSG00000036438,C2,CP:KEGG,2
KEGG_CARDIAC_MUSCLE_CONTRACTION,2,2/169,76/5055,0.9999929686271026,20463/67003,Cox7a2l/Uqcrc2,ENSMUSG00000024248/ENSMUSG00000030884,C2,CP:KEGG,2
KEGG_HEMATOPOIETIC_CELL_LINEAGE,2,2/169,81/5055,0.9999929686271026,12946/12527,Cr1l/Cd9,ENSMUSG00000016481/ENSMUSG00000030342,C2,CP:KEGG,2
KEGG_RIBOSOME,2,2/169,84/5055,0.9999929686271026,66480/68028,Rpl15/Rpl22l1,ENSMUSG00000012405/ENSMUSG00000039221,C2,CP:KEGG,2
KEGG_GAP_JUNCTION,2,2/169,86/5055,0.9999929686271026,13645/227613,Egf/Tubb4b,ENSMUSG00000028017/ENSMUSG00000036752,C2,CP:KEGG,2
KEGG_GNRH_SIGNALING_PATHWAY,2,2/169,97/5055,0.9999929686271026,66350/12314,Pla2g12a/Calm2,ENSMUSG00000027999/ENSMUSG00000036438,C2,CP:KEGG,2
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,2,2/169,113/5055,0.9999929686271026,66350/12314,Pla2g12a/Calm2,ENSMUSG00000027999/ENSMUSG00000036438,C2,CP:KEGG,2
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,2,2/169,125/5055,0.9999929686271026,12314/22059,Calm2/Trp53,ENSMUSG00000036438/ENSMUSG00000059552,C2,CP:KEGG,2
KEGG_CALCIUM_SIGNALING_PATHWAY,3,3/169,174/5055,0.9999929686271026,22334/12182/12314,Vdac2/Bst1/Calm2,ENSMUSG00000021771/ENSMUSG00000029082/ENSMUSG00000036438,C2,CP:KEGG,2
KEGG_CHEMOKINE_SIGNALING_PATHWAY,3,3/169,176/5055,0.9999929686271026,20305/57266/14688,Ccl6/Cxcl14/Gnb1,ENSMUSG00000018927/ENSMUSG00000021508/ENSMUSG00000029064,C2,CP:KEGG,2
KEGG_FOCAL_ADHESION,3,3/169,197/5055,0.9999929686271026,16000/64099/13645,Igf1/Parvg/Egf,ENSMUSG00000020053/ENSMUSG00000022439/ENSMUSG00000028017,C2,CP:KEGG,2
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,3,3/169,210/5055,0.9999929686271026,13645/56443/68089,Egf/Arpc1a/Arpc4,ENSMUSG00000028017/ENSMUSG00000029621/ENSMUSG00000079426,C2,CP:KEGG,2
KEGG_WNT_SIGNALING_PATHWAY,4,4/169,147/5055,0.9999929686271026,56505/21402/22417/22059,Ruvbl1/Skp1a/Wnt4/Trp53,ENSMUSG00000030079/ENSMUSG00000036309/ENSMUSG00000036856/ENSMUSG00000059552,C2,CP:KEGG,2
KEGG_ENDOCYTOSIS,4,4/169,182/5055,0.9999929686271026,53869/227700/13645/76959,Rab11a/Sh3glb2/Egf/Chmp5,ENSMUSG00000004771/ENSMUSG00000026860/ENSMUSG00000028017/ENSMUSG00000028419,C2,CP:KEGG,2
KEGG_MAPK_SIGNALING_PATHWAY,4,4/169,263/5055,0.9999929686271026,66350/13645/22059/56692,Pla2g12a/Egf/Trp53/Lamtor3,ENSMUSG00000027999/ENSMUSG00000028017/ENSMUSG00000059552/ENSMUSG00000091512,C2,CP:KEGG,2
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,5,5/169,243/5055,0.9999929686271026,20305/57266/13645/18413/69583,Ccl6/Cxcl14/Egf/Osm/Tnfsf13,ENSMUSG00000018927/ENSMUSG00000021508/ENSMUSG00000028017/ENSMUSG00000058755/ENSMUSG00000089669,C2,CP:KEGG,2
KEGG_PATHWAYS_IN_CANCER,6,6/169,337/5055,0.9999929686271026,16000/21787/13645/19207/22417/22059,Igf1/Tfg/Egf/Ptch2/Wnt4/Trp53,ENSMUSG00000020053/ENSMUSG00000022757/ENSMUSG00000028017/ENSMUSG00000028681/ENSMUSG00000036856/ENSMUSG00000059552,C2,CP:KEGG,2
KEGG_WNT_SIGNALING_PATHWAY,13,13/143,147/5055,0.02955331718128045,216795/54446/103583/16973/18797/226849/18019/26409/18021/17127/18018/12445/14362,Wnt9a/Nfat5/Fbxw11/Lrp5/Plcb3/Ppp2r5a/Nfatc2/Map3k7/Nfatc3/Smad3/Nfatc1/Ccnd3/Fzd1,ENSMUSG00000000126/ENSMUSG00000003847/ENSMUSG00000020271/ENSMUSG00000024913/ENSMUSG00000024960/ENSMUSG00000026626/ENSMUSG00000027544/ENSMUSG00000028284/ENSMUSG00000031902/ENSMUSG00000032402/ENSMUSG00000033016/ENSMUSG00000034165/ENSMUSG00000044674,C2,CP:KEGG,3
KEGG_VEGF_SIGNALING_PATHWAY,8,8/143,75/5055,0.07338800524969462,54446/22339/18019/20779/18021/19225/18018/18707,Nfat5/Vegfa/Nfatc2/Src/Nfatc3/Ptgs2/Nfatc1/Pik3cd,ENSMUSG00000003847/ENSMUSG00000023951/ENSMUSG00000027544/ENSMUSG00000027646/ENSMUSG00000031902/ENSMUSG00000032487/ENSMUSG00000033016/ENSMUSG00000039936,C2,CP:KEGG,3
KEGG_ONE_CARBON_POOL_BY_FOLATE,3,3/143,17/5055,0.20603419924383032,238505/17769/270685,Mtr/Mthfr/Mthfd1l,ENSMUSG00000021311/ENSMUSG00000029009/ENSMUSG00000040675,C2,CP:KEGG,3
KEGG_LEISHMANIA_INFECTION,6,6/143,65/5055,0.20603419924383032,16153/18126/16452/26409/16451/19225,Il10/Nos2/Jak2/Map3k7/Jak1/Ptgs2,ENSMUSG00000016529/ENSMUSG00000020826/ENSMUSG00000024789/ENSMUSG00000028284/ENSMUSG00000028530/ENSMUSG00000032487,C2,CP:KEGG,3
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,8,8/143,108/5055,0.20603419924383032,54446/16153/19419/18019/26409/18021/18018/18707,Nfat5/Il10/Rasgrp1/Nfatc2/Map3k7/Nfatc3/Nfatc1/Pik3cd,ENSMUSG00000003847/ENSMUSG00000016529/ENSMUSG00000027347/ENSMUSG00000027544/ENSMUSG00000028284/ENSMUSG00000031902/ENSMUSG00000033016/ENSMUSG00000039936,C2,CP:KEGG,3
KEGG_CELL_CYCLE,9,9/143,123/5055,0.20603419924383032,17222/12580/19651/17127/229776/12445/11920/20842/105988,Anapc1/Cdkn2c/Rbl2/Smad3/Cdc14a/Ccnd3/Atm/Stag1/Espl1,ENSMUSG00000014355/ENSMUSG00000028551/ENSMUSG00000031666/ENSMUSG00000032402/ENSMUSG00000033502/ENSMUSG00000034165/ENSMUSG00000034218/ENSMUSG00000037286/ENSMUSG00000058290,C2,CP:KEGG,3
KEGG_FOCAL_ADHESION,12,12/143,197/5055,0.20603419924383032,17295/22339/286940/16404/226519/12334/241226/20779/192176/12445/107746/18707,Met/Vegfa/Flnb/Itga7/Lamc1/Capn2/Itga8/Src/Flna/Ccnd3/Rapgef1/Pik3cd,ENSMUSG00000009376/ENSMUSG00000023951/ENSMUSG00000025278/ENSMUSG00000025348/ENSMUSG00000026478/ENSMUSG00000026509/ENSMUSG00000026768/ENSMUSG00000027646/ENSMUSG00000031328/ENSMUSG00000034165/ENSMUSG00000039844/ENSMUSG00000039936,C2,CP:KEGG,3
KEGG_INOSITOL_PHOSPHATE_METABOLISM,5,5/143,54/5055,0.23152315224296743,71780/75678/18797/18718/18707,Isyna1/Ippk/Plcb3/Pip4k2a/Pik3cd,ENSMUSG00000019139/ENSMUSG00000021385/ENSMUSG00000024960/ENSMUSG00000026737/ENSMUSG00000039936,C2,CP:KEGG,3
KEGG_ADHERENS_JUNCTION,6,6/143,73/5055,0.23152315224296743,17295/20779/26409/17127/19274/17356,Met/Src/Map3k7/Smad3/Ptprm/Afdn,ENSMUSG00000009376/ENSMUSG00000027646/ENSMUSG00000028284/ENSMUSG00000032402/ENSMUSG00000033278/ENSMUSG00000068036,C2,CP:KEGG,3
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,6,6/143,75/5055,0.23152315224296743,75678/18797/16331/18718/18707/227333,Ippk/Plcb3/Inpp5d/Pip4k2a/Pik3cd/Dgkd,ENSMUSG00000021385/ENSMUSG00000024960/ENSMUSG00000026288/ENSMUSG00000026737/ENSMUSG00000039936/ENSMUSG00000070738,C2,CP:KEGG,3
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,6,6/143,76/5055,0.23152315224296743,54446/16331/18019/18021/18018/18707,Nfat5/Inpp5d/Nfatc2/Nfatc3/Nfatc1/Pik3cd,ENSMUSG00000003847/ENSMUSG00000026288/ENSMUSG00000027544/ENSMUSG00000031902/ENSMUSG00000033016/ENSMUSG00000039936,C2,CP:KEGG,3
KEGG_PANCREATIC_CANCER,5,5/143,70/5055,0.5024135392349922,20848/22339/16451/17127/18707,Stat3/Vegfa/Jak1/Smad3/Pik3cd,ENSMUSG00000004040/ENSMUSG00000023951/ENSMUSG00000028530/ENSMUSG00000032402/ENSMUSG00000039936,C2,CP:KEGG,3
KEGG_ACUTE_MYELOID_LEUKEMIA,4,4/143,57/5055,0.5175361823171131,20848/16590/18854/18707,Stat3/Kit/Pml/Pik3cd,ENSMUSG00000004040/ENSMUSG00000005672/ENSMUSG00000036986/ENSMUSG00000039936,C2,CP:KEGG,3
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,4,4/143,59/5055,0.5175361823171131,59079/54483/26409/20304,Erbin/Mefv/Map3k7/Ccl5,ENSMUSG00000021709/ENSMUSG00000022534/ENSMUSG00000028284/ENSMUSG00000035042,C2,CP:KEGG,3
KEGG_APOPTOSIS,5,5/143,82/5055,0.5175361823171131,11783/12633/12334/11920/18707,Apaf1/Cflar/Capn2/Atm/Pik3cd,ENSMUSG00000019979/ENSMUSG00000026031/ENSMUSG00000026509/ENSMUSG00000034218/ENSMUSG00000039936,C2,CP:KEGG,3
KEGG_ECM_RECEPTOR_INTERACTION,5,5/143,83/5055,0.5175361823171131,20971/20969/16404/226519/241226,Sdc4/Sdc1/Itga7/Lamc1/Itga8,ENSMUSG00000017009/ENSMUSG00000020592/ENSMUSG00000025348/ENSMUSG00000026478/ENSMUSG00000026768,C2,CP:KEGG,3
KEGG_SMALL_CELL_LUNG_CANCER,5,5/143,83/5055,0.5175361823171131,11783/18126/226519/19225/18707,Apaf1/Nos2/Lamc1/Ptgs2/Pik3cd,ENSMUSG00000019979/ENSMUSG00000020826/ENSMUSG00000026478/ENSMUSG00000032487/ENSMUSG00000039936,C2,CP:KEGG,3
KEGG_AXON_GUIDANCE,7,7/143,129/5055,0.5175361823171131,54446/17295/18019/16728/18021/18018/140570,Nfat5/Met/Nfatc2/L1cam/Nfatc3/Nfatc1/Plxnb2,ENSMUSG00000003847/ENSMUSG00000009376/ENSMUSG00000027544/ENSMUSG00000031391/ENSMUSG00000031902/ENSMUSG00000033016/ENSMUSG00000036606,C2,CP:KEGG,3
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,7,7/143,132/5055,0.5175361823171131,17222/103583/12211/74126/18854/235439/140630,Anapc1/Fbxw11/Birc6/Syvn1/Pml/Herc1/Ube4a,ENSMUSG00000014355/ENSMUSG00000020271/ENSMUSG00000024073/ENSMUSG00000024807/ENSMUSG00000036986/ENSMUSG00000038664/ENSMUSG00000059890,C2,CP:KEGG,3
KEGG_JAK_STAT_SIGNALING_PATHWAY,8,8/143,147/5055,0.5175361823171131,20848/16153/16195/16452/114715/16451/12445/18707,Stat3/Il10/Il6st/Jak2/Spred1/Jak1/Ccnd3/Pik3cd,ENSMUSG00000004040/ENSMUSG00000016529/ENSMUSG00000021756/ENSMUSG00000024789/ENSMUSG00000027351/ENSMUSG00000028530/ENSMUSG00000034165/ENSMUSG00000039936,C2,CP:KEGG,3
KEGG_CHEMOKINE_SIGNALING_PATHWAY,9,9/143,176/5055,0.5175361823171131,20848/94176/16452/18797/20304/12771/277360/18707/320129,Stat3/Dock2/Jak2/Plcb3/Ccl5/Ccr3/Prex1/Pik3cd/Grk3,ENSMUSG00000004040/ENSMUSG00000020143/ENSMUSG00000024789/ENSMUSG00000024960/ENSMUSG00000035042/ENSMUSG00000035448/ENSMUSG00000039621/ENSMUSG00000039936/ENSMUSG00000042249,C2,CP:KEGG,3
KEGG_PATHWAYS_IN_CANCER,14,14/143,337/5055,0.5432062053070384,216795/20848/16590/17295/17686/18126/22339/226519/16451/17127/19225/18854/18707/14362,Wnt9a/Stat3/Kit/Met/Msh3/Nos2/Vegfa/Lamc1/Jak1/Smad3/Ptgs2/Pml/Pik3cd/Fzd1,ENSMUSG00000000126/ENSMUSG00000004040/ENSMUSG00000005672/ENSMUSG00000009376/ENSMUSG00000014850/ENSMUSG00000020826/ENSMUSG00000023951/ENSMUSG00000026478/ENSMUSG00000028530/ENSMUSG00000032402/ENSMUSG00000032487/ENSMUSG00000036986/ENSMUSG00000039936/ENSMUSG00000044674,C2,CP:KEGG,3
KEGG_MISMATCH_REPAIR,2,2/143,22/5055,0.5746599200250644,17686/217716,Msh3/Mlh3,ENSMUSG00000014850/ENSMUSG00000021245,C2,CP:KEGG,3
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES,2,2/143,23/5055,0.5746599200250644,53418/14345,B4galt2/Fut4,ENSMUSG00000028541/ENSMUSG00000049307,C2,CP:KEGG,3
KEGG_N_GLYCAN_BIOSYNTHESIS,3,3/143,45/5055,0.5746599200250644,17158/53418/217664,Man2a1/B4galt2/Mgat2,ENSMUSG00000024085/ENSMUSG00000028541/ENSMUSG00000043998,C2,CP:KEGG,3
KEGG_P53_SIGNALING_PATHWAY,4,4/143,66/5055,0.5746599200250644,11783/12452/12445/11920,Apaf1/Ccng2/Ccnd3/Atm,ENSMUSG00000019979/ENSMUSG00000029385/ENSMUSG00000034165/ENSMUSG00000034218,C2,CP:KEGG,3
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,4,4/143,69/5055,0.5746599200250644,17295/20779/20304/21871,Met/Src/Ccl5/Atp6v0a2,ENSMUSG00000009376/ENSMUSG00000027646/ENSMUSG00000035042/ENSMUSG00000038023,C2,CP:KEGG,3
KEGG_RENAL_CELL_CARCINOMA,4,4/143,70/5055,0.5746599200250644,17295/22339/107746/18707,Met/Vegfa/Rapgef1/Pik3cd,ENSMUSG00000009376/ENSMUSG00000023951/ENSMUSG00000039844/ENSMUSG00000039936,C2,CP:KEGG,3
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,5,5/143,96/5055,0.5746599200250644,26399/26409/20304/18707/12475,Map2k6/Map3k7/Ccl5/Pik3cd/Cd14,ENSMUSG00000020623/ENSMUSG00000028284/ENSMUSG00000035042/ENSMUSG00000039936/ENSMUSG00000051439,C2,CP:KEGG,3
